Territorialidades,Índice de Theil-L 2010,Índice de Gini 2010,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Mortalidade até 5 anos de idade 2010,Probabilidade de sobrevivência até 40 anos 2010,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010,Probabilidade de sobrevivência até 60 anos 2010,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2010,Taxa de fecundidade total 2010,Razão de dependência 2010,Taxa de envelhecimento 2010,Renda per capita 2010
Tenório (PB),"0,35","0,43","67,43","35,9","38,71","91,78","0,581","0,565","0,707","0,49","77,31","0,627","0,3","1,95","52,96","7,57","269,63"
Triunfo (PB),"0,49","0,49","71,79","22,2","23,99","94,82","0,609","0,578","0,78","0,501","84,8","0,625","0,321","1,65","56,3","10,42","292,24"
Uiraúna (PB),"0,56","0,54","72,82","19,5","21,09","95,43","0,636","0,612","0,797","0,528","86,43","0,638","0,361","1,71","52,2","11,46","361,37"
Umbuzeiro (PB),"0,57","0,54","67,69",35,"37,72","91,98","0,584","0,545","0,712","0,514","77,78","0,665","0,307","2,1","59,81","10,42","237,25"
Várzea (PB),"0,32","0,4","73,01","19,1","20,58","95,53","0,707","0,619","0,8","0,714","86,72","0,873","0,477","1,49","52,5","12,22","377,4"
Vieirópolis (PB),"0,44","0,45","70,7","25,3","27,28","94,13","0,571","0,537","0,762","0,455","83,03","0,622","0,244","1,66","52,6","12,17","226,49"
Vista Serrana (PB),"0,44","0,47","71,35","23,4","25,3","94,54","0,566","0,554","0,773","0,424","84,09","0,56","0,243","1,6","52,56","8,46","251,49"
Zabelê (PB),"0,35","0,43","68,48","32,3","34,79","92,58","0,623","0,567","0,725","0,587","79,19","0,755","0,355","2,05","56,96","9,88","272,94"
 , ,,,,,,,,,,,,,,,,
"Elaboração: Atlas do Desenvolvimento Humano no Brasil. Pnud Brasil, Ipea e FJP, 2022.",,,,,,,,,,,,,,,,,
"Fontes: dados do IBGE e de registros administrativos, conforme especificados nos metadados disponíveis disponíveis em: http://atlasbrasil.org.br/acervo/biblioteca.",,,,,,,,,,,,,,,,,
